nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,avgwr,Combined1
Sweden,Ground_vehicles,2025-02-20,11.7 ~ 12.7,11.7,11785.0,1975.879932117098,0.6459490199406025,0.2154798472634705,0.2702426813746287,0.1248188882197314,0.4069157888478401,0.6652484294532647,0.3645813571812744
Germany,Ground_vehicles,2025-03-13,10.3 ~ 11.3,10.3,13036.0,1650.4039902321774,0.5579261966861001,0.0729825099723841,0.080948143602332,0.0845633148697511,0.2183535885259895,0.5564137889269516,0.1869571093685088
USA,Ground_vehicles,2025-03-22,8.7 ~ 9.7,8.7,6775.0,715.7889790897909,0.5188132546125461,0.0998228782287823,0.113290036900369,0.1029556158980898,0.2861358307948063,0.5178376561368794,0.1826649264553444
France,Ground_vehicles,2025-01-06,2.7 ~ 3.7,2.7,1462.0,151.38035795713634,0.5741715458276333,0.0995896032831737,0.1627222982216142,0.172311251141827,0.4429310637379067,0.5802454443497029,0.336426883312813
Israel,Ground_vehicles,2025-01-18,8.7 ~ 9.7,8.7,6368.0,783.3863962670496,0.5370867148241206,0.0552763819095477,0.0587311557788944,0.1495093555421714,0.4701841514291942,0.5790540920824767,0.2932312680411284
Germany,Ground_vehicles,2025-01-24,7.7 ~ 8.7,7.7,25080.0,2020.0580509037743,0.3957999441786284,0.1173038277511961,0.1009577352472089,0.1089793874491301,0.2643046436197206,0.4119025143075977,0.056393662545116
USA,Ground_vehicles,2025-02-02,2.3 ~ 3.3,2.3,2349.0,223.937410042774,0.6605054491272881,0.0829203916560238,0.1067049808429119,0.2221137877850846,0.6537106494258834,0.6455558793963545,0.5261188780509737
Britain,Ground_vehicles,2025-01-03,8.7 ~ 9.7,8.7,7111.0,706.8464351005484,0.6047569680776262,0.0,0.0,0.1308206569340312,0.3645727295895697,0.5994647465556711,0.3132862445490177
China,Ground_vehicles,2025-03-10,9.3 ~ 10.3,9.3,5183.0,788.2704353977748,0.559381246382404,0.1524638240401311,0.1190005788153579,0.1012355233878982,0.2510058040599523,0.5937989327784144,0.2103890377107083
Japan,Ground_vehicles,2025-01-12,7.0 ~ 8.0,7.0,2584.0,665.9153766769865,0.6156350232198142,0.0757739938080495,0.071985294117647,0.1398238405552246,0.4087718205547513,0.5951469678784487,0.344878717274326
